"year","program_length","public_private","students"
1976,"4 years","Public",143528
1976,"2 years","Public",13308
1976,"4 years","Private",63148
1976,"2 years","Private",2629
1980,"4 years","Public",155085
1980,"2 years","Public",13132
1980,"4 years","Private",62924
1980,"2 years","Private",2416
1982,"4 years","Public",151472
1982,"2 years","Public",14399
1982,"4 years","Private",60545
1982,"2 years","Private",1955
1984,"4 years","Public",151289
1984,"2 years","Public",12827
1984,"4 years","Private",61555
1984,"2 years","Private",1848
1986,"4 years","Public",147631
1986,"2 years","Public",14417
1986,"4 years","Private",59600
1986,"2 years","Private",1627
1988,"4 years","Public",158606
1988,"2 years","Public",15066
1988,"4 years","Private",64644
1988,"2 years","Private",1439
1990,"4 years","Public",171969
1990,"2 years","Public",15077
1990,"4 years","Private",68528
1990,"2 years","Private",1578
1991,"4 years","Public",182204
1991,"2 years","Public",15643
1991,"4 years","Private",69889
1991,"2 years","Private",1599
1992,"4 years","Public",188143
1992,"2 years","Public",16823
1992,"4 years","Private",72946
1992,"2 years","Private",1629
1993,"4 years","Public",189032
1993,"2 years","Public",19165
1993,"4 years","Private",73398
1993,"2 years","Private",1261
1994,"4 years","Public",187735
1994,"2 years","Public",18785
1994,"4 years","Private",72262
1994,"2 years","Private",1289
1995,"4 years","Public",186278
1995,"2 years","Public",18448
1995,"4 years","Private",73131
1995,"2 years","Private",868
1996,"4 years","Public",182063
1996,"2 years","Public",18506
1996,"4 years","Private",71591
1996,"2 years","Private",858
1997,"4 years","Public",175297
1997,"2 years","Public",19377
1997,"4 years","Private",73563
1997,"2 years","Private",930
1998,"4 years","Public",174776
1998,"2 years","Public",23827
1998,"4 years","Private",74155
1998,"2 years","Private",714
1999,"4 years","Public",175364
1999,"2 years","Public",24462
1999,"4 years","Private",73792
1999,"2 years","Private",703
2000,"4 years","Public",175404
2000,"2 years","Public",24321
2000,"4 years","Private",75306
2000,"2 years","Private",649
2001,"4 years","Public",181346
2001,"2 years","Public",28737
2001,"4 years","Private",79201
2001,"2 years","Private",701
2002,"4 years","Public",189183
2002,"2 years","Public",29250
2002,"4 years","Private",79837
2002,"2 years","Private",771
2003,"4 years","Public",196077
2003,"2 years","Public",32019
2003,"4 years","Private",78249
2003,"2 years","Private",382
2004,"4 years","Public",198810
2004,"2 years","Public",32369
2004,"4 years","Private",77326
2004,"2 years","Private",434
2005,"4 years","Public",197200
2005,"2 years","Public",38675
2005,"4 years","Private",75466
2005,"2 years","Private",427
2006,"4 years","Public",198676
2006,"2 years","Public",35829
2006,"4 years","Private",74094
2006,"2 years","Private",175
2007,"4 years","Public",198300
2007,"2 years","Public",35507
2007,"4 years","Private",72615
2007,"2 years","Private",93
2008,"4 years","Public",197025
2008,"2 years","Public",38799
2008,"4 years","Private",77543
2008,"2 years","Private",124
2009,"4 years","Public",204016
2009,"2 years","Public",42579
2009,"4 years","Private",76117
2009,"2 years","Private",148
2010,"4 years","Public",205774
2010,"2 years","Public",43372
2010,"4 years","Private",77325
2010,"2 years","Private",143
2011,"4 years","Public",204363
2011,"2 years","Public",42322
2011,"4 years","Private",76787
2011,"2 years","Private",176
2012,"4 years","Public",198568
2012,"2 years","Public",39214
2012,"4 years","Private",74465
2012,"2 years","Private",191
2013,"4 years","Public",191918
2013,"2 years","Public",38407
2013,"4 years","Private",72536
2013,"2 years","Private",330
2014,"4 years","Public",185899
2014,"2 years","Public",36977
2014,"4 years","Private",71037
2014,"2 years","Private",403
2015,"4 years","Public",184587
2015,"2 years","Public",36773
2015,"4 years","Private",71792
2015,"2 years","Private",236
